MainCauseCategory,CountMainCause
Winter Storm,1
Hurricane ,3
Storm Surge,7
Levee Failure,2
Brief Torrential Rain,210
Typhoon,6
Tropical Cyclone,340
Tsunami,4
Dam/Levy Break or Release,57
Glacial Lake Outburst,2
Landslide,1
Rain And Snowmelt,48
Ice Jams,32
Monsoon Rain,436
Tidal Surge,3
Cyclone,22
Avalanche,3
Torrential Rain,539
High Tides,1
Tropical Storm,154
Heavy  Rain,2998
Snowmelt,79
